date,what-is-eu,what-is-brexit,what-is-article-50,what-is-single-market,is-sweden-in-the-eu,is-russia-in-the-eu
2016-01-01,1,0,0,0,0,0
2016-01-02,0.5,0,0,0,0,0
2016-01-03,1,0,0,3,9,0
2016-01-04,0.5,0,0,0,8,0
2016-01-05,1,0.5,0,0,0,0
2016-01-06,2,0,0,0,4,0
2016-01-07,2,0.5,0,0,4,8
2016-01-08,1,0,0,0,0,0
2016-01-09,1,0,0,0,0,8
2016-01-10,1,0,0,0,4,0
2016-01-11,1,0,0,0,4,7
2016-01-12,2,0,0,0,8,0
2016-01-13,2,0,0,0,4,8
2016-01-14,2,0,0,0,6,8
2016-01-15,1,0,0,0,4,8
2016-01-16,1,0,0,0,0,0
2016-01-17,1,0.5,0,0,0,0
2016-01-18,2,0.5,0,0,0,7
2016-01-19,2,0,0,0,4,8
2016-01-20,2,0,0,0,8,0
2016-01-21,1,0.5,0,0,4,8
2016-01-22,1,1,0,0,4,0
2016-01-23,2,0,0,0,0,8
2016-01-24,1,0,0,2,0,0
2016-01-25,1,0,0,0,0,7
2016-01-26,2,0.5,0,0,4,0
2016-01-27,1,0.5,0,0,0,0
2016-01-28,1,0,0,0,8,0
2016-01-29,2,0,0,0,10,0
2016-01-30,1,0,0,0,0,0
2016-01-31,1,0.5,0,0,0,16
2016-02-01,2,0,0,0,0,0
2016-02-02,2,0.5,0,0,4,0
2016-02-03,2,1,0,2,4,0
2016-02-04,2,0.5,0,0,0,0
2016-02-05,2,0,0,0,6,0
2016-02-06,1,0,0,0,0,0
2016-02-07,1,0,0,0,0,8
2016-02-08,2,0.5,0,0,6,7
2016-02-09,1,0.5,0,0,0,8
2016-02-10,2,0.5,0,0,0,8
2016-02-11,2,0.5,0,0,0,0
2016-02-12,1,0,0,0,4,0
2016-02-13,1,1,0,0,0,9
2016-02-14,1,1,0,0,0,8
2016-02-15,2,1,0,0,0,8
2016-02-16,2,0.5,0,0,12,12
2016-02-17,1,0,0,0,4,0
2016-02-18,2,1,0,0,4,8
2016-02-19,3,2,0,0,6,8
2016-02-20,7,1,1,5,9,8
2016-02-21,6,5,0,5,4,0
2016-02-22,7,4,1,0,4,18
2016-02-23,4,4,0,2,4,8
2016-02-24,3,2,0,0,6,0
2016-02-25,3,1,0,0,0,0
2016-02-26,3,0.5,0,2,6,8
2016-02-27,2,1,0,0,0,9
2016-02-28,1,2,0,0,4,8
2016-02-29,3,2,1,2,4,7
2016-03-01,2,0.5,0,0,0,7
2016-03-02,2,1,0,0,4,7
2016-03-03,2,2,0,2,4,8
2016-03-04,2,1,0,0,0,0
2016-03-05,1,1,0,0,5,17
2016-03-06,2,1,0,0,4,8
2016-03-07,2,0.5,0,0,4,0
2016-03-08,2,2,0,5,4,11
2016-03-09,2,3,0,0,4,8
2016-03-10,2,1,0,0,4,8
2016-03-11,2,2,0,0,0,16
2016-03-12,1,1,0,0,0,0
2016-03-13,2,2,0,0,4,0
2016-03-14,2,1,0,0,4,0
2016-03-15,2,2,0,0,4,0
2016-03-16,2,0.5,0,0,8,8
2016-03-17,2,0,0,2,0,0
2016-03-18,2,0.5,0,0,4,8
2016-03-19,1,1,0,0,0,0
2016-03-20,1,1,0,0,0,0
2016-03-21,1,1,0,2,6,8
2016-03-22,2,1,0,0,8,0
2016-03-23,2,1,0,0,8,0
2016-03-24,2,1,0,0,4,0
2016-03-25,1,0.5,0,0,0,0
2016-03-26,1,0.5,0,0,5,0
2016-03-27,1,2,0,0,5,0
2016-03-28,1,1,0,0,0,0
2016-03-29,1,1,0,0,4,8
2016-03-30,2,0.5,0,0,4,0
2016-03-31,1,0,0,0,0,0
2016-04-01,1,1,0,0,6,0
2016-04-02,2,0.5,0,0,0,9
2016-04-03,1,1,0,3,0,0
2016-04-04,1,0.5,0,0,4,0
2016-04-05,2,1,0,0,4,8
2016-04-06,2,1,0,0,0,0
2016-04-07,2,1,0,0,0,0
2016-04-08,1,0,0,2,4,0
2016-04-09,1,0.5,0,0,0,0
2016-04-10,2,0.5,0,0,0,0
2016-04-11,2,0,0,0,0,0
2016-04-12,2,1,0,0,0,0
2016-04-13,2,2,0,0,8,8
2016-04-14,3,1,0,2,0,8
2016-04-15,2,1,0,0,4,0
2016-04-16,2,1,0,0,5,9
2016-04-17,2,1,0,0,0,0
2016-04-18,3,2,0,5,0,0
2016-04-19,3,2,1,0,8,0
2016-04-20,2,2,0,0,4,0
2016-04-21,3,2,0,0,0,0
2016-04-22,3,0.5,0,2,0,0
2016-04-23,2,2,0,3,0,9
2016-04-24,2,2,0,0,0,0
2016-04-25,4,2,0,2,4,0
2016-04-26,2,0.5,0,0,4,7
2016-04-27,3,0.5,0,0,4,0
2016-04-28,3,1,0,5,4,0
2016-04-29,2,1,0,0,0,8
2016-04-30,2,2,0,0,5,9
2016-05-01,3,1,0,0,4,0
2016-05-02,2,1,0,3,0,0
2016-05-03,3,1,0,3,0,5
2016-05-04,3,1,0,3,0,0
2016-05-05,4,1,0,3,3,0
2016-05-06,2,0.5,0,0,3,0
2016-05-07,2,0.5,0,0,4,0
2016-05-08,2,1,0,3,0,0
2016-05-09,3,2,0,3,0,5
2016-05-10,3,2,0,3,3,5
2016-05-11,3,3,0,0,3,0
2016-05-12,3,2,0,3,0,10
2016-05-13,3,2,0,0,7,0
2016-05-14,3,1,0,3,8,29
2016-05-15,4,2,0,0,0,0
2016-05-16,3,0.5,0,0,0,5
2016-05-17,3,2,0,0,3,0
2016-05-18,2,2,0,0,9,0
2016-05-19,3,3,0,3,7,5
2016-05-20,3,2,0,4,0,0
2016-05-21,2,2,0,0,0,0
2016-05-22,5,2,0,0,0,5
2016-05-23,4,2,0,3,10,0
2016-05-24,3,3,0,0,13,5
2016-05-25,4,6,0,0,10,5
2016-05-26,5,3,0,3,10,10
2016-05-27,3,3,0,0,0,0
2016-05-28,2,3,0,0,8,0
2016-05-29,3,2,0,3,0,6
2016-05-30,4,2,0,0,0,0
2016-05-31,3,2,0,3,3,5
2016-06-01,5,3,0,0,0,0
2016-06-02,3,3,0,0,3,10
2016-06-03,5,3,0,7,0,0
2016-06-04,4,2,0,3,8,6
2016-06-05,5,4,0,0,12,6
2016-06-06,5,2,0,5,0,0
2016-06-07,10,7,0,14,16,10
2016-06-08,7,4,0,4,0,5
2016-06-09,9,5,0,6,7,0
2016-06-10,7,6,0,13,3,21
2016-06-11,4,4,0,3,4,50
2016-06-12,5,5,0,3,7,11
2016-06-13,4,6,0,4,6,5
2016-06-14,7,4,0,3,3,14
2016-06-15,8,8,1,5,13,15
2016-06-16,6,9,0,3,3,20
2016-06-17,4,4,0,3,3,5
2016-06-18,5,5,0,3,0,6
2016-06-19,6,6,0,6,0,0
2016-06-20,8,10,0,3,6,5
2016-06-21,15,10,0,8,7,15
2016-06-22,21,16,0,7,13,20
2016-06-23,39,24,2,9,7,20
2016-06-24,100,100,100,25,100,100
2016-06-25,36,40,35,42,22,11
2016-06-26,19,29,47,52,14,5
2016-06-27,13,27,34,46,16,15
2016-06-28,10,22,16,58,0,0
2016-06-29,11,12,11,100,10,5
2016-06-30,6,10,8,70,0,10
2016-07-01,5,6,3,23,3,5
2016-07-02,3,3,1,6,8,6
2016-07-03,3,3,7,14,4,0
2016-07-04,3,5,1,8,10,5
2016-07-05,3,5,3,6,0,0
2016-07-06,2,3,0,6,0,0
2016-07-07,1,3,1,10,0,5
2016-07-08,1,2,1,4,0,0
2016-07-09,3,3,0,3,4,0
2016-07-10,2,2,0,3,0,0
2016-07-11,2,3,2,3,0,5
2016-07-12,2,3,1,8,0,0
2016-07-13,3,5,1,15,7,0
2016-07-14,2,4,1,8,0,0
2016-07-15,1,2,1,9,4,0
2016-07-16,1,1,1,3,0,0
2016-07-17,1,2,3,3,4,0
2016-07-18,2,3,1,9,0,6
2016-07-19,2,2,1,0,0,0
2016-07-20,1,2,0,3,0,11
2016-07-21,1,2,0,4,7,0
2016-07-22,1,2,0,3,0,6
2016-07-23,1,1,0,0,9,0
2016-07-24,1,1,1,3,0,0
2016-07-25,1,1,0,0,0,0
2016-07-26,1,1,0,0,3,0
2016-07-27,1,2,0,0,0,0
2016-07-28,1,2,1,3,0,5
2016-07-29,1,2,0,3,0,0
2016-07-30,1,1,0,0,0,0
2016-07-31,0.5,1,0,0,0,0
2016-08-01,1,1,0,3,0,0
2016-08-02,1,2,1,0,0,0
2016-08-03,1,1,1,0,3,0
2016-08-04,1,1,1,0,4,0
2016-08-05,1,1,0,0,0,0
2016-08-06,0.5,2,0,0,0,0
2016-08-07,1,2,0,0,4,0
2016-08-08,1,1,1,0,0,5
2016-08-09,1,1,1,0,0,0
2016-08-10,1,1,1,6,0,0
2016-08-11,1,1,0,0,0,0
2016-08-12,1,1,0,0,8,0
2016-08-13,1,0,0,0,0,0
2016-08-14,1,1,0,0,0,0
2016-08-15,1,1,1,0,0,0
2016-08-16,1,1,0,0,0,6
2016-08-17,1,1,0,0,0,0
2016-08-18,1,0.5,0,0,0,0
2016-08-19,1,0.5,0,0,0,0
2016-08-20,1,1,0,0,0,0
2016-08-21,0.5,2,0,0,0,0
2016-08-22,1,1,0,0,0,0
2016-08-23,0.5,1,1,3,0,6
